Datetime (UTC),Country,Zone Name,Zone Id,Carbon Intensity gCO₂eq/kWh (direct),Carbon Intensity gCO₂eq/kWh (LCA),Low Carbon Percentage,Renewable Percentage,Data Source
2022-04-25 00:00:00,Brazil,South Brazil,BR-S,48.34,79.25,91.59,90.26,ons.org.br
2022-04-26 00:00:00,Brazil,South Brazil,BR-S,48.75,80.44,91.52,89.79,ons.org.br
2022-04-27 00:00:00,Brazil,South Brazil,BR-S,40.43,70.29,92.97,91.29,ons.org.br
2022-04-28 00:00:00,Brazil,South Brazil,BR-S,32.28,61.26,94.38,92.91,ons.org.br
2022-04-29 00:00:00,Brazil,South Brazil,BR-S,30.58,59.15,94.68,93.42,ons.org.br
2022-04-30 00:00:00,Brazil,South Brazil,BR-S,51.52,83.93,91.04,89.09,ons.org.br
2022-05-01 00:00:00,Brazil,South Brazil,BR-S,73.45,109.29,87.23,84.85,ons.org.br
2022-05-02 00:00:00,Brazil,South Brazil,BR-S,50.81,82.77,91.16,89.76,ons.org.br
2022-05-03 00:00:00,Brazil,South Brazil,BR-S,41.29,71.47,92.82,92.11,ons.org.br
2022-05-04 00:00:00,Brazil,South Brazil,BR-S,44.53,75.44,92.26,91.61,ons.org.br
2022-05-05 00:00:00,Brazil,South Brazil,BR-S,42.55,73.65,92.60,91.92,ons.org.br
2022-05-06 00:00:00,Brazil,South Brazil,BR-S,46.53,78.41,91.91,91.03,ons.org.br
2022-05-07 00:00:00,Brazil,South Brazil,BR-S,57.85,91.61,89.94,88.60,ons.org.br
2022-05-08 00:00:00,Brazil,South Brazil,BR-S,80.72,117.72,85.96,84.17,ons.org.br
2022-05-09 00:00:00,Brazil,South Brazil,BR-S,68.07,103.31,88.16,87.10,ons.org.br
2022-05-10 00:00:00,Brazil,South Brazil,BR-S,69.01,104.79,88.00,87.38,ons.org.br
2022-05-11 00:00:00,Brazil,South Brazil,BR-S,65.76,100.46,88.56,87.82,ons.org.br
2022-05-12 00:00:00,Brazil,South Brazil,BR-S,62.97,97.47,89.05,88.49,ons.org.br
2022-05-13 00:00:00,Brazil,South Brazil,BR-S,63.21,98.05,89.01,88.39,ons.org.br
2022-05-14 00:00:00,Brazil,South Brazil,BR-S,70.60,106.21,87.72,86.98,ons.org.br
2022-05-15 00:00:00,Brazil,South Brazil,BR-S,77.52,114.19,86.52,85.89,ons.org.br
2022-05-16 00:00:00,Brazil,South Brazil,BR-S,58.92,91.74,89.75,89.43,ons.org.br
2022-05-17 00:00:00,Brazil,South Brazil,BR-S,45.80,76.36,92.04,91.61,ons.org.br
2022-05-18 00:00:00,Brazil,South Brazil,BR-S,45.55,76.16,92.08,91.52,ons.org.br
2022-05-19 00:00:00,Brazil,South Brazil,BR-S,44.73,75.73,92.22,91.87,ons.org.br
2022-05-20 00:00:00,Brazil,South Brazil,BR-S,44.42,75.90,92.27,92.11,ons.org.br
2022-05-21 00:00:00,Brazil,South Brazil,BR-S,72.29,108.58,87.43,86.44,ons.org.br
2022-05-22 00:00:00,Brazil,South Brazil,BR-S,84.64,123.18,85.28,84.27,ons.org.br
2022-05-23 00:00:00,Brazil,South Brazil,BR-S,72.80,109.10,87.34,86.11,ons.org.br
2022-05-24 00:00:00,Brazil,South Brazil,BR-S,66.34,101.49,88.46,87.43,ons.org.br
2022-05-25 00:00:00,Brazil,South Brazil,BR-S,61.00,95.25,89.39,88.56,ons.org.br
2022-05-26 00:00:00,Brazil,South Brazil,BR-S,65.96,100.58,88.53,87.20,ons.org.br
2022-05-27 00:00:00,Brazil,South Brazil,BR-S,67.82,102.97,88.21,87.06,ons.org.br
2022-05-28 00:00:00,Brazil,South Brazil,BR-S,67.43,102.86,88.27,87.46,ons.org.br
2022-05-29 00:00:00,Brazil,South Brazil,BR-S,55.78,88.88,90.30,90.09,ons.org.br
2022-05-30 00:00:00,Brazil,South Brazil,BR-S,41.18,71.63,92.84,92.83,ons.org.br
2022-05-31 00:00:00,Brazil,South Brazil,BR-S,42.10,73.07,92.68,92.67,ons.org.br
2022-06-01 00:00:00,Brazil,South Brazil,BR-S,50.47,83.14,91.22,91.19,ons.org.br
2022-06-02 00:00:00,Brazil,South Brazil,BR-S,48.97,81.02,91.48,91.48,ons.org.br
2022-06-03 00:00:00,Brazil,South Brazil,BR-S,50.12,82.53,91.28,91.28,ons.org.br
2022-06-04 00:00:00,Brazil,South Brazil,BR-S,50.56,82.63,91.21,91.21,ons.org.br
2022-06-05 00:00:00,Brazil,South Brazil,BR-S,68.22,103.63,88.14,88.06,ons.org.br
2022-06-06 00:00:00,Brazil,South Brazil,BR-S,59.08,93.20,89.72,89.72,ons.org.br
2022-06-07 00:00:00,Brazil,South Brazil,BR-S,60.48,95.00,89.48,89.47,ons.org.br
2022-06-08 00:00:00,Brazil,South Brazil,BR-S,48.11,80.42,91.63,91.62,ons.org.br
2022-06-09 00:00:00,Brazil,South Brazil,BR-S,41.53,72.59,92.78,92.77,ons.org.br
2022-06-10 00:00:00,Brazil,South Brazil,BR-S,45.19,76.14,92.14,92.14,ons.org.br
2022-06-11 00:00:00,Brazil,South Brazil,BR-S,48.75,80.00,91.52,91.52,ons.org.br
2022-06-12 00:00:00,Brazil,South Brazil,BR-S,51.60,83.42,91.03,91.03,ons.org.br
2022-06-13 00:00:00,Brazil,South Brazil,BR-S,51.21,83.92,91.09,91.09,ons.org.br
2022-06-14 00:00:00,Brazil,South Brazil,BR-S,62.44,96.82,89.14,89.12,ons.org.br
2022-06-15 00:00:00,Brazil,South Brazil,BR-S,59.63,93.73,89.63,89.60,ons.org.br
2022-06-16 00:00:00,Brazil,South Brazil,BR-S,57.39,91.24,90.02,90.01,ons.org.br
2022-06-17 00:00:00,Brazil,South Brazil,BR-S,53.59,86.31,90.68,90.68,ons.org.br
2022-06-18 00:00:00,Brazil,South Brazil,BR-S,48.50,80.11,91.57,91.57,ons.org.br
2022-06-19 00:00:00,Brazil,South Brazil,BR-S,64.36,99.20,88.81,88.77,ons.org.br
2022-06-20 00:00:00,Brazil,South Brazil,BR-S,52.75,85.83,90.82,90.82,ons.org.br
2022-06-21 00:00:00,Brazil,South Brazil,BR-S,50.05,82.33,91.30,91.28,ons.org.br
2022-06-22 00:00:00,Brazil,South Brazil,BR-S,46.18,77.39,91.97,91.97,ons.org.br
2022-06-23 00:00:00,Brazil,South Brazil,BR-S,46.48,78.18,91.91,91.91,ons.org.br
2022-06-24 00:00:00,Brazil,South Brazil,BR-S,45.72,77.37,92.05,92.05,ons.org.br; Electricity Maps Estimation
2022-06-25 00:00:00,Brazil,South Brazil,BR-S,51.16,83.10,91.10,91.10,Electricity Maps Estimation
2022-06-26 00:00:00,Brazil,South Brazil,BR-S,54.63,87.20,90.50,90.50,Electricity Maps Estimation
2022-06-27 00:00:00,Brazil,South Brazil,BR-S,49.82,82.24,91.34,91.33,ons.org.br; Electricity Maps Estimation
2022-06-28 00:00:00,Brazil,South Brazil,BR-S,40.33,71.11,92.99,92.99,ons.org.br
2022-06-29 00:00:00,Brazil,South Brazil,BR-S,37.92,67.79,93.40,93.40,ons.org.br
2022-06-30 00:00:00,Brazil,South Brazil,BR-S,38.53,68.83,93.30,93.30,ons.org.br
2022-07-01 00:00:00,Brazil,South Brazil,BR-S,40.19,70.51,93.01,93.01,ons.org.br
2022-07-02 00:00:00,Brazil,South Brazil,BR-S,45.51,76.86,92.09,92.09,ons.org.br
2022-07-03 00:00:00,Brazil,South Brazil,BR-S,56.85,90.31,90.11,90.09,ons.org.br
2022-07-04 00:00:00,Brazil,South Brazil,BR-S,39.84,70.13,93.07,93.07,ons.org.br
2022-07-05 00:00:00,Brazil,South Brazil,BR-S,37.68,67.91,93.45,93.44,ons.org.br
2022-07-06 00:00:00,Brazil,South Brazil,BR-S,39.74,70.10,93.09,93.08,ons.org.br
2022-07-07 00:00:00,Brazil,South Brazil,BR-S,45.63,76.86,92.07,92.07,ons.org.br
2022-07-08 00:00:00,Brazil,South Brazil,BR-S,48.42,80.46,91.58,91.58,ons.org.br
2022-07-09 00:00:00,Brazil,South Brazil,BR-S,52.34,84.20,90.90,90.90,ons.org.br
2022-07-10 00:00:00,Brazil,South Brazil,BR-S,62.79,96.54,89.08,89.05,ons.org.br
2022-07-11 00:00:00,Brazil,South Brazil,BR-S,48.99,80.70,91.48,91.48,ons.org.br
2022-07-12 00:00:00,Brazil,South Brazil,BR-S,43.78,74.58,92.39,92.39,ons.org.br
2022-07-13 00:00:00,Brazil,South Brazil,BR-S,44.91,76.34,92.19,92.19,ons.org.br
2022-07-14 00:00:00,Brazil,South Brazil,BR-S,42.12,72.37,92.68,92.68,ons.org.br
2022-07-15 00:00:00,Brazil,South Brazil,BR-S,42.85,73.52,92.55,92.55,ons.org.br
2022-07-16 00:00:00,Brazil,South Brazil,BR-S,46.94,78.33,91.84,91.84,ons.org.br
2022-07-17 00:00:00,Brazil,South Brazil,BR-S,57.89,90.70,89.93,89.93,ons.org.br
2022-07-18 00:00:00,Brazil,South Brazil,BR-S,47.38,79.35,91.76,91.76,ons.org.br
2022-07-19 00:00:00,Brazil,South Brazil,BR-S,46.64,78.64,91.89,91.88,ons.org.br
2022-07-20 00:00:00,Brazil,South Brazil,BR-S,46.45,78.00,91.92,91.92,ons.org.br
2022-07-21 00:00:00,Brazil,South Brazil,BR-S,49.34,81.39,91.42,91.41,ons.org.br
2022-07-22 00:00:00,Brazil,South Brazil,BR-S,49.14,81.56,91.45,91.44,ons.org.br
2022-07-23 00:00:00,Brazil,South Brazil,BR-S,54.49,87.62,90.52,90.52,ons.org.br
2022-07-24 00:00:00,Brazil,South Brazil,BR-S,65.55,100.66,88.60,88.53,ons.org.br
2022-07-25 00:00:00,Brazil,South Brazil,BR-S,49.36,81.59,91.42,91.41,ons.org.br
2022-07-26 00:00:00,Brazil,South Brazil,BR-S,45.81,77.23,92.03,92.03,ons.org.br
2022-07-27 00:00:00,Brazil,South Brazil,BR-S,49.37,81.71,91.41,91.36,ons.org.br
2022-07-28 00:00:00,Brazil,South Brazil,BR-S,47.94,79.58,91.66,91.66,ons.org.br
2022-07-29 00:00:00,Brazil,South Brazil,BR-S,45.68,76.49,92.05,92.05,ons.org.br
2022-07-30 00:00:00,Brazil,South Brazil,BR-S,52.84,85.91,90.81,90.81,ons.org.br
